iter	Passed	Remaining
696	3772	1640
697	3776	1633
698	3780	1628
699	3785	1622
700	3789	1616
701	3792	1610
702	3797	1604
703	3801	1598
704	3805	1592
705	3809	1586
706	3813	1580
707	3817	1574
708	3820	1568
709	3824	1562
710	3829	1556
711	3833	1550
712	3837	1544
713	3840	1538
714	3846	1533
715	3849	1526
716	3853	1520
717	3856	1514
718	3860	1508
719	3864	1502
720	3867	1496
721	3871	1490
722	3875	1484
723	3879	1478
724	3882	1472
725	3887	1467
726	3891	1461
727	3896	1455
728	3899	1449
729	3903	1443
730	3907	1438
731	3913	1432
732	3916	1426
733	3919	1420
734	3923	1414
735	3928	1408
736	3931	1403
737	3935	1397
738	3939	1391
739	3943	1385
740	3947	1379
741	3950	1373
742	3953	1367
743	3958	1361
744	3961	1355
745	3964	1349
746	3968	1344
747	3972	1338
748	3975	1332
749	3979	1326
750	3982	1320
751	3985	1314
752	3990	1308
753	3993	1303
754	3997	1297
755	4000	1291
756	4004	1285
757	4008	1279
758	4012	1274
759	4016	1268
760	4020	1262
761	4024	1256
762	4027	1251
763	4031	1245
764	4035	1239
765	4040	1234
766	4043	1228
767	4047	1222
768	4051	1216
769	4056	1211
770	4060	1205
771	4063	1200
772	4067	1194
773	4071	1188
774	4075	1183
775	4078	1177
776	4081	1171
777	4085	1165
778	4089	1160
779	4092	1154
780	4096	1148
781	4099	1142
782	4104	1137
783	4107	1131
784	4110	1125
785	4114	1120
786	4118	1114
787	4121	1108
788	4125	1103
789	4128	1097
790	4131	1091
791	4135	1086
792	4138	1080
793	4142	1074
794	4145	1068
795	4149	1063
796	4153	1057
797	4156	1052
798	4159	1046
799	4163	1040
800	4168	1035
801	4171	1029
802	4175	1024
803	4178	1018
804	4181	1013
805	4185	1007
806	4188	1001
807	4192	996
808	4195	990
809	4199	985
810	4203	979
811	4206	973
812	4209	968
813	4213	962
814	4216	957
815	4220	951
816	4223	946
817	4226	940
818	4231	935
819	4235	929
820	4239	924
821	4243	918
822	4246	913
823	4250	907
824	4253	902
825	4256	896
826	4259	891
827	4264	885
828	4267	880
829	4271	874
830	4274	869
831	4277	863
832	4281	858
833	4285	852
834	4288	847
835	4291	841
836	4295	836
837	4299	831
838	4302	825
839	4306	820
840	4309	814
841	4314	809
842	4318	804
843	4321	798
844	4325	793
845	4329	788
846	4334	782
847	4337	777
848	4342	772
849	4347	767
850	4350	761
851	4354	756
852	4357	750
853	4361	745
854	4365	740
855	4368	734
856	4372	729
857	4375	724
858	4380	718
859	4383	713
860	4386	708
861	4390	702
862	4394	697
863	4398	692
864	4401	687
865	4405	681
866	4409	676
867	4414	671
868	4417	665
869	4421	660
870	4425	655
871	4429	650
872	4433	644
873	4436	639
874	4440	634
875	4444	629
876	4447	623
877	4451	618
878	4454	613
879	4459	608
880	4462	602
881	4465	597
882	4469	592
883	4472	586
884	4499	584
885	4507	579
886	4513	575
887	4518	569
888	4524	564
889	4528	559
890	4532	554
891	4536	549
892	4541	544
893	4545	538
894	4548	533
895	4552	528
896	4558	523
897	4562	518
898	4566	513
899	4570	507
900	4575	502
901	4579	497
902	4582	492
903	4586	487
904	4591	481
905	4595	476
906	4598	471
907	4602	466
908	4606	461
909	4610	455
910	4614	450
911	4617	445
912	4623	440
913	4628	435
914	4633	430
915	4640	425
916	4644	420
917	4648	415
918	4667	411
919	4671	406
920	4675	401
921	4678	395
922	4682	390
923	4687	385
924	4690	380
925	4694	375
926	4697	369
927	4704	364
928	4709	359
929	4714	354
930	4719	349
931	4723	344
932	4727	339
933	4731	334
934	4735	329
935	4740	324
936	4745	319
937	4752	314
938	4756	309
939	4761	303
940	4767	298
941	4771	293
942	4775	288
943	4778	283
944	4791	278
945	4805	274
946	4812	269
947	4818	264
948	4823	259
949	4828	254
950	4834	249
951	4838	243
952	4842	238
953	4847	233
954	4851	228
955	4854	223
956	4859	218
957	4864	213
958	4868	208
959	4872	203
960	4877	197
961	4882	192
962	4886	187
963	4890	182
964	4895	177
965	4899	172
966	4905	167
967	4945	163
968	4953	158
969	4984	154
970	4995	149
971	5001	144
972	5006	138
973	5012	133
974	5030	128
975	5037	123
976	5045	118
977	5049	113
978	5052	108
979	5056	103
980	5060	98
981	5064	92
982	5067	87
983	5071	82
984	5076	77
985	5079	72
986	5082	66
987	5085	61
988	5089	56
989	5093	51
990	5096	46
991	5099	41
992	5103	35
993	5108	30
994	5111	25
995	5114	20
996	5117	15
997	5122	10
998	5125	5
999	5129	0
